to go,いく,いく,いきます,いかない,いきません,いった,いきました,いかなかった,いきませんでした,いって,いきまして,いかなくて,いかないで,いきませんで,いき,いったら,いきましたら,いかなかったら,いきませんでしたら,いけば,いくなら,いきますなら,いきませば,いかなければ,いかなくちゃ,いかなきゃ,いきませんなら,いける,いけます,いけない,いけません,いかれる,いかれます,いかれない,いかれません,いかせる,いかす,いかせます,いかします,いかせない,いかさない,いかせません,いかしません,いかされません,いかされない,いかされる,いかされます,いかせられます,いかせられる,いかせられない,いかせられません,いこう,いきましょう,いくまい,いきますまい,いくだろう,いくでしょう,いかないだろう,いかないでしょう,いったり,いきましたり,いかなかったり,いきませんでしたり,いけ,いきなさい,いくな,いきなさるな,いらっしゃる,いらっしゃいます,伺う,伺います
to need,いる,要る,要ります,要らない,要りません,要った,要りました,要らなかった,要りませんでした,要って,要りまして,要らなくて,要らないで,要りませんで,要り,要ったら,要りましたら,要らなかったら,要りませんでしたら,要れば,要るなら,要りますなら,要りませば,要らなければ,要らなくちゃ,要らなきゃ,要りませんなら,要れる,要れます,要れない,要れません,要られる,要られます,要られない,要られません,要らせる,要らす,要らせます,要らします,要らせない,要らさない,要らせません,要らしません,要らされません,要らされない,要らされる,要らされます,要らせられます,要らせられる,要らせられない,要らせられません,要ろう,要りましょう,要るまい,要りますまい,要るだろう,要るでしょう,要らないだろう,要らないでしょう,要ったり,要りましたり,要らなかったり,要りませんでしたり,要れ,要りなさい,要るな,要りなさるな,お要りになる,お要りになります,お要りする,お要りします
to sing,うたう,歌う,歌います,歌わない,歌いません,歌った,歌いました,歌わなかった,歌いませんでした,歌って,歌いまして,歌わなくて,歌わないで,歌いませんで,歌い,歌ったら,歌いましたら,歌わなかったら,歌いませんでしたら,歌えば,歌うなら,歌いますなら,歌いませば,歌わなければ,歌わなくちゃ,歌わなきゃ,歌いませんなら,歌える,歌えます,歌えない,歌えません,歌われる,歌われます,歌われない,歌われません,歌わせる,歌わす,歌わせます,歌わします,歌わせない,歌わさない,歌わせません,歌わしません,歌わされません,歌わされない,歌わされる,歌わされます,歌わせられます,歌わせられる,歌わせられない,歌わせられません,歌おう,歌いましょう,歌うまい,歌いますまい,歌うだろう,歌うでしょう,歌わないだろう,歌わないでしょう,歌ったり,歌いましたり,歌わなかったり,歌いませんでしたり,歌え,歌いなさい,歌うな,歌いなさるな,お歌いになる,お歌いになります,お歌いする,お歌いします
to sell,うる,売る,売ります,売らない,売りません,売った,売りました,売らなかった,売りませんでした,売って,売りまして,売らなくて,売らないで,売りませんで,売り,売ったら,売りましたら,売らなかったら,売りませんでしたら,売れば,売るなら,売りますなら,売りませば,売らなければ,売らなくちゃ,売らなきゃ,売りませんなら,売れる,売れます,売れない,売れません,売られる,売られます,売られない,売られません,売らせる,売らす,売らせます,売らします,売らせない,売らさない,売らせません,売らしません,売らされません,売らされない,売らされる,売らされます,売らせられます,売らせられる,売らせられない,売らせられません,売ろう,売りましょう,売るまい,売りますまい,売るだろう,売るでしょう,売らないだろう,売らないでしょう,売ったり,売りましたり,売らなかったり,売りませんでしたり,売れ,売りなさい,売るな,売りなさるな,お売りになる,お売りになります,お売りする,お売りします
to put,おく,置く,置きます,置かない,置きません,置いた,置きました,置かなかった,置きませんでした,置いて,置きまして,置かなくて,置かないで,置きませんで,置き,置いたら,置きましたら,置かなかったら,置きませんでしたら,置けば,置くなら,置きますなら,置きませば,置かなければ,置かなくちゃ,置かなきゃ,置きませんなら,置ける,置けます,置けない,置けません,置かれる,置かれます,置かれない,置かれません,置かせる,置かす,置かせます,置かします,置かせない,置かさない,置かせません,置かしません,置かされません,置かされない,置かされる,置かされます,置かせられます,置かせられる,置かせられない,置かせられません,置こう,置きましょう,置くまい,置きますまい,置くだろう,置くでしょう,置かないだろう,置かないでしょう,置いたり,置きましたり,置かなかったり,置きませんでしたり,置け,置きなさい,置くな,置きなさるな,お置きになる,お置きになります,お置きする,お置きします
to send (a thing),おくる,送る,送ります,送らない,送りません,送った,送りました,送らなかった,送りませんでした,送って,送りまして,送らなくて,送らないで,送りませんで,送り,送ったら,送りましたら,送らなかったら,送りませんでしたら,送れば,送るなら,送りますなら,送りませば,送らなければ,送らなくちゃ,送らなきゃ,送りませんなら,送れる,送れます,送れない,送れません,送られる,送られます,送られない,送られません,送らせる,送らす,送らせます,送らします,送らせない,送らさない,送らせません,送らしません,送らされません,送らされない,送らされる,送らされます,送らせられます,送らせられる,送らせられない,送らせられません,送ろう,送りましょう,送るまい,送りますまい,送るだろう,送るでしょう,送らないだろう,送らないでしょう,送ったり,送りましたり,送らなかったり,送りませんでしたり,送れ,送りなさい,送るな,送りなさるな,お送りになる,お送りになります,お送りする,お送りします
to push,おす,押す,押します,押さない,押しません,押した,押しました,押さなかった,押しませんでした,押して,押しまして,押さなくて,押さないで,押しませんで,押し,押したら,押しましたら,押さなかったら,押しませんでしたら,押せば,押すなら,押しますなら,押しませば,押さなければ,押さなくちゃ,押さなきゃ,押しませんなら,押せる,押せます,押せない,押せません,押される,押されます,押されない,押されません,押させる,押さす,押させます,押さします,押させない,押ささない,押させません,押さしません,押さされません,押さされない,押さされる,押さされます,押させられます,押させられる,押させられない,押させられません,押そう,押しましょう,押すまい,押しますまい,押すだろう,押すでしょう,押さないだろう,押さないでしょう,押したり,押しましたり,押さなかったり,押しませんでしたり,押せ,押しなさい,押すな,押しなさるな,お押しになる,お押しになります,お押しする,お押しします
to swim,およぐ,泳ぐ,泳ぎます,泳がない,泳ぎません,泳いだ,泳ぎました,泳がなかった,泳ぎませんでした,泳いで,泳ぎまして,泳がなくて,泳がないで,泳ぎませんで,泳ぎ,泳いだら,泳ぎましたら,泳がなかったら,泳ぎませんでしたら,泳げば,泳ぐなら,泳ぎますなら,泳ぎませば,泳がなければ,泳がなくちゃ,泳がなきゃ,泳ぎませんなら,泳げる,泳げます,泳げない,泳げません,泳がれる,泳がれます,泳がれない,泳がれません,泳がせる,泳がす,泳がせます,泳がします,泳がせない,泳がさない,泳がせません,泳がしません,泳がされません,泳がされない,泳がされる,泳がされます,泳がせられます,泳がせられる,泳がせられない,泳がせられません,泳ごう,泳ぎましょう,泳ぐまい,泳ぎますまい,泳ぐだろう,泳ぐでしょう,泳がないだろう,泳がないでしょう,泳いだり,泳ぎましたり,泳がなかったり,泳ぎませんでしたり,泳げ,泳ぎなさい,泳ぐな,泳ぎなさるな,お泳ぎになる,お泳ぎになります,お泳ぎする,お泳ぎします
to finish,おわる,終わる,終わります,終わらない,終わりません,終わった,終わりました,終わらなかった,終わりませんでした,終わって,終わりまして,終わらなくて,終わらないで,終わりませんで,終わり,終わったら,終わりましたら,終わらなかったら,終わりませんでしたら,終われば,終わるなら,終わりますなら,終わりませば,終わらなければ,終わらなくちゃ,終わらなきゃ,終わりませんなら,終われる,終われます,終われない,終われません,終わられる,終わられます,終わられない,終わられません,終わらせる,終わらす,終わらせます,終わらします,終わらせない,終わらさない,終わらせません,終わらしません,終わらされません,終わらされない,終わらされる,終わらされます,終わらせられます,終わらせられる,終わらせられない,終わらせられません,終わろう,終わりましょう,終わるまい,終わりますまい,終わるだろう,終わるでしょう,終わらないだろう,終わらないでしょう,終わったり,終わりましたり,終わらなかったり,終わりませんでしたり,終われ,終わりなさい,終わるな,終わりなさるな,お終わりになる,お終わりになります,お終わりする,お終わりします
to buy,かう,買う,買います,買わない,買いません,買った,買いました,買わなかった,買いませんでした,買って,買いまして,買わなくて,買わないで,買いませんで,買い,買ったら,買いましたら,買わなかったら,買いませんでしたら,買えば,買うなら,買いますなら,買いませば,買わなければ,買わなくちゃ,買わなきゃ,買いませんなら,買える,買えます,買えない,買えません,買われる,買われます,買われない,買われません,買わせる,買わす,買わせます,買わします,買わせない,買わさない,買わせません,買わしません,買わされません,買わされない,買わされる,買わされます,買わせられます,買わせられる,買わせられない,買わせられません,買おう,買いましょう,買うまい,買いますまい,買うだろう,買うでしょう,買わないだろう,買わないでしょう,買ったり,買いましたり,買わなかったり,買いませんでしたり,買え,買いなさい,買うな,買いなさるな,お求めになる,お求めになります,求める,求めます
to return (something),かえす,返す,返します,返さない,返しません,返した,返しました,返さなかった,返しませんでした,返して,返しまして,返さなくて,返さないで,返しませんで,返し,返したら,返しましたら,返さなかったら,返しませんでしたら,返せば,返すなら,返しますなら,返しませば,返さなければ,返さなくちゃ,返さなきゃ,返しませんなら,返せる,返せます,返せない,返せません,返される,返されます,返されない,返されません,返させる,返さす,返させます,返さします,返させない,返ささない,返させません,返さしません,返さされません,返さされない,返さされる,返さされます,返させられます,返させられる,返させられない,返させられません,返そう,返しましょう,返すまい,返しますまい,返すだろう,返すでしょう,返さないだろう,返さないでしょう,返したり,返しましたり,返さなかったり,返しませんでしたり,返せ,返しなさい,返すな,返しなさるな,お返しになる,お返しになります,お返しする,お返しします
to return,かえる,帰る,帰ります,帰らない,帰りません,帰った,帰りました,帰らなかった,帰りませんでした,帰って,帰りまして,帰らなくて,帰らないで,帰りませんで,帰り,帰ったら,帰りましたら,帰らなかったら,帰りませんでしたら,帰れば,帰るなら,帰りますなら,帰りませば,帰らなければ,帰らなくちゃ,帰らなきゃ,帰りませんなら,帰れる,帰れます,帰れない,帰れません,帰られる,帰られます,帰られない,帰られません,帰らせる,帰らす,帰らせます,帰らします,帰らせない,帰らさない,帰らせません,帰らしません,帰らされません,帰らされない,帰らされる,帰らされます,帰らせられます,帰らせられる,帰らせられない,帰らせられません,帰ろう,帰りましょう,帰るまい,帰りますまい,帰るだろう,帰るでしょう,帰らないだろう,帰らないでしょう,帰ったり,帰りましたり,帰らなかったり,帰りませんでしたり,帰れ,帰りなさい,帰るな,帰りなさるな,お帰りになる,お帰りになります,失礼する,失礼します
to take,かかる,掛かる,掛かります,掛からない,掛かりません,掛かった,掛かりました,掛からなかった,掛かりませんでした,掛かって,掛かりまして,掛からなくて,掛からないで,掛かりませんで,掛かり,掛かったら,掛かりましたら,掛からなかったら,掛かりませんでしたら,掛かれば,掛かるなら,掛かりますなら,掛かりませば,掛からなければ,掛からなくちゃ,掛からなきゃ,掛かりませんなら,掛かれる,掛かれます,掛かれない,掛かれません,掛かられる,掛かられます,掛かられない,掛かられません,掛からせる,掛からす,掛からせます,掛からします,掛からせない,掛からさない,掛からせません,掛からしません,掛からされません,掛からされない,掛からされる,掛からされます,掛からせられます,掛からせられる,掛からせられない,掛からせられません,掛かろう,掛かりましょう,掛かるまい,掛かりますまい,掛かるだろう,掛かるでしょう,掛からないだろう,掛からないでしょう,掛かったり,掛かりましたり,掛からなかったり,掛かりませんでしたり,掛かれ,掛かりなさい,掛かるな,掛かりなさるな,お掛かりになる,お掛かりになります,お掛かりする,お掛かりします
to write,かく,書く,書きます,書かない,書きません,書いた,書きました,書かなかった,書きませんでした,書いて,書きまして,書かなくて,書かないで,書きませんで,書き,書いたら,書きましたら,書かなかったら,書きませんでしたら,書けば,書くなら,書きますなら,書きませば,書かなければ,書かなくちゃ,書かなきゃ,書きませんなら,書ける,書けます,書けない,書けません,書かれる,書かれます,書かれない,書かれません,書かせる,書かす,書かせます,書かします,書かせない,書かさない,書かせません,書かしません,書かされません,書かされない,書かされる,書かされます,書かせられます,書かせられる,書かせられない,書かせられません,書こう,書きましょう,書くまい,書きますまい,書くだろう,書くでしょう,書かないだろう,書かないでしょう,書いたり,書きましたり,書かなかったり,書きませんでしたり,書け,書きなさい,書くな,書きなさるな,お書きになる,お書きになります,お書きする,お書きします
to lend,かす,貸す,貸します,貸さない,貸しません,貸した,貸しました,貸さなかった,貸しませんでした,貸して,貸しまして,貸さなくて,貸さないで,貸しませんで,貸し,貸したら,貸しましたら,貸さなかったら,貸しませんでしたら,貸せば,貸すなら,貸しますなら,貸しませば,貸さなければ,貸さなくちゃ,貸さなきゃ,貸しませんなら,貸せる,貸せます,貸せない,貸せません,貸される,貸されます,貸されない,貸されません,貸させる,貸さす,貸させます,貸さします,貸させない,貸ささない,貸させません,貸さしません,貸さされません,貸さされない,貸さされる,貸さされます,貸させられます,貸させられる,貸させられない,貸させられません,貸そう,貸しましょう,貸すまい,貸しますまい,貸すだろう,貸すでしょう,貸さないだろう,貸さないでしょう,貸したり,貸しましたり,貸さなかったり,貸しませんでしたり,貸せ,貸しなさい,貸すな,貸しなさるな,お貸しになる,お貸しになります,お貸しする,お貸しします
to put on (one's head),かぶる,冠る,冠ります,冠らない,冠りません,冠った,冠りました,冠らなかった,冠りませんでした,冠って,冠りまして,冠らなくて,冠らないで,冠りませんで,冠り,冠ったら,冠りましたら,冠らなかったら,冠りませんでしたら,冠れば,冠るなら,冠りますなら,冠りませば,冠らなければ,冠らなくちゃ,冠らなきゃ,冠りませんなら,冠れる,冠れます,冠れない,冠れません,冠られる,冠られます,冠られない,冠られません,冠らせる,冠らす,冠らせます,冠らします,冠らせない,冠らさない,冠らせません,冠らしません,冠らされません,冠らされない,冠らされる,冠らされます,冠らせられます,冠らせられる,冠らせられない,冠らせられません,冠ろう,冠りましょう,冠るまい,冠りますまい,冠るだろう,冠るでしょう,冠らないだろう,冠らないでしょう,冠ったり,冠りましたり,冠らなかったり,冠りませんでしたり,冠れ,冠りなさい,冠るな,冠りなさるな,お冠りになる,お冠りになります,お冠りする,お冠りします
to be decided,きまる,決まる,決まります,決まらない,決まりません,決まった,決まりました,決まらなかった,決まりませんでした,決まって,決まりまして,決まらなくて,決まらないで,決まりませんで,決まり,決まったら,決まりましたら,決まらなかったら,決まりませんでしたら,決まれば,決まるなら,決まりますなら,決まりませば,決まらなければ,決まらなくちゃ,決まらなきゃ,決まりませんなら,決まれる,決まれます,決まれない,決まれません,決まられる,決まられます,決まられない,決まられません,決まらせる,決まらす,決まらせます,決まらします,決まらせない,決まらさない,決まらせません,決まらしません,決まらされません,決まらされない,決まらされる,決まらされます,決まらせられます,決まらせられる,決まらせられない,決まらせられません,決まろう,決まりましょう,決まるまい,決まりますまい,決まるだろう,決まるでしょう,決まらないだろう,決まらないでしょう,決まったり,決まりましたり,決まらなかったり,決まりませんでしたり,決まれ,決まりなさい,決まるな,決まりなさるな,お決まりになる,お決まりになります,お決まりする,お決まりします
to hear,きく,聞く,聞きます,聞かない,聞きません,聞いた,聞きました,聞かなかった,聞きませんでした,聞いて,聞きまして,聞かなくて,聞かないで,聞きませんで,聞き,聞いたら,聞きましたら,聞かなかったら,聞きませんでしたら,聞けば,聞くなら,聞きますなら,聞きませば,聞かなければ,聞かなくちゃ,聞かなきゃ,聞きませんなら,聞ける,聞けます,聞けない,聞けません,聞かれる,聞かれます,聞かれない,聞かれません,聞かせる,聞かす,聞かせます,聞かします,聞かせない,聞かさない,聞かせません,聞かしません,聞かされません,聞かされない,聞かされる,聞かされます,聞かせられます,聞かせられる,聞かせられない,聞かせられません,聞こう,聞きましょう,聞くまい,聞きますまい,聞くだろう,聞くでしょう,聞かないだろう,聞かないでしょう,聞いたり,聞きましたり,聞かなかったり,聞きませんでしたり,聞け,聞きなさい,聞くな,聞きなさるな,お耳に入る,お耳に入ります,拝聴する,拝聴します
to cut (usu. to cut through),きる,切る,切ります,切らない,切りません,切った,切りました,切らなかった,切りませんでした,切って,切りまして,切らなくて,切らないで,切りませんで,切り,切ったら,切りましたら,切らなかったら,切りませんでしたら,切れば,切るなら,切りますなら,切りませば,切らなければ,切らなくちゃ,切らなきゃ,切りませんなら,切れる,切れます,切れない,切れません,切られる,切られます,切られない,切られません,切らせる,切らす,切らせます,切らします,切らせない,切らさない,切らせません,切らしません,切らされません,切らされない,切らされる,切らされます,切らせられます,切らせられる,切らせられない,切らせられません,切ろう,切りましょう,切るまい,切りますまい,切るだろう,切るでしょう,切らないだろう,切らないでしょう,切ったり,切りましたり,切らなかったり,切りませんでしたり,切れ,切りなさい,切るな,切りなさるな,お切りになる,お切りになります,お切りする,お切りします
to erase,けす,消す,消します,消さない,消しません,消した,消しました,消さなかった,消しませんでした,消して,消しまして,消さなくて,消さないで,消しませんで,消し,消したら,消しましたら,消さなかったら,消しませんでしたら,消せば,消すなら,消しますなら,消しませば,消さなければ,消さなくちゃ,消さなきゃ,消しませんなら,消せる,消せます,消せない,消せません,消される,消されます,消されない,消されません,消させる,消さす,消させます,消さします,消させない,消ささない,消させません,消さしません,消さされません,消さされない,消さされる,消さされます,消させられます,消させられる,消させられない,消させられません,消そう,消しましょう,消すまい,消しますまい,消すだろう,消すでしょう,消さないだろう,消さないでしょう,消したり,消しましたり,消さなかったり,消しませんでしたり,消せ,消しなさい,消すな,消しなさるな,お消しになる,お消しになります,お消しする,お消しします
to be troubled,こまる,困る,困ります,困らない,困りません,困った,困りました,困らなかった,困りませんでした,困って,困りまして,困らなくて,困らないで,困りませんで,困り,困ったら,困りましたら,困らなかったら,困りませんでしたら,困れば,困るなら,困りますなら,困りませば,困らなければ,困らなくちゃ,困らなきゃ,困りませんなら,困れる,困れます,困れない,困れません,困られる,困られます,困られない,困られません,困らせる,困らす,困らせます,困らします,困らせない,困らさない,困らせません,困らしません,困らされません,困らされない,困らされる,困らされます,困らせられます,困らせられる,困らせられない,困らせられません,困ろう,困りましょう,困るまい,困りますまい,困るだろう,困るでしょう,困らないだろう,困らないでしょう,困ったり,困りましたり,困らなかったり,困りませんでしたり,困れ,困りなさい,困るな,困りなさるな,お困りになる,お困りになります,お困りする,お困りします
to be crowded,こむ,込む,込みます,込まない,込みません,込んだ,込みました,込まなかった,込みませんでした,込んで,込みまして,込まなくて,込まないで,込みませんで,込み,込んだら,込みましたら,込まなかったら,込みませんでしたら,込めば,込むなら,込みますなら,込みませば,込まなければ,込まなくちゃ,込まなきゃ,込みませんなら,込める,込めます,込めない,込めません,込まれる,込まれます,込まれない,込まれません,込ませる,込ます,込ませます,込まします,込ませない,込まさない,込ませません,込ましません,込まされません,込まされない,込まされる,込まされます,込ませられます,込ませられる,込ませられない,込ませられません,込もう,込みましょう,込むまい,込みますまい,込むだろう,込むでしょう,込まないだろう,込まないでしょう,込んだり,込みましたり,込まなかったり,込みませんでしたり,込め,込みなさい,込むな,込みなさるな,お込みになる,お込みになります,お込みする,お込みします
to break,こわす,壊す,壊します,壊さない,壊しません,壊した,壊しました,壊さなかった,壊しませんでした,壊して,壊しまして,壊さなくて,壊さないで,壊しませんで,壊し,壊したら,壊しましたら,壊さなかったら,壊しませんでしたら,壊せば,壊すなら,壊しますなら,壊しませば,壊さなければ,壊さなくちゃ,壊さなきゃ,壊しませんなら,壊せる,壊せます,壊せない,壊せません,壊される,壊されます,壊されない,壊されません,壊させる,壊さす,壊させます,壊さします,壊させない,壊ささない,壊させません,壊さしません,壊さされません,壊さされない,壊さされる,壊さされます,壊させられます,壊させられる,壊させられない,壊させられません,壊そう,壊しましょう,壊すまい,壊しますまい,壊すだろう,壊すでしょう,壊さないだろう,壊さないでしょう,壊したり,壊しましたり,壊さなかったり,壊しませんでしたり,壊せ,壊しなさい,壊すな,壊しなさるな,お壊しになる,お壊しになります,お壊しする,お壊しします
